geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101011400,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 10
42101011500,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 11
42101011700,Overbrook Park-Wynnefield Heights,42.34743863,Average,199,Ozone concentration,West,Overbrook Park-Wynnefield Heights 3
42101011800,Overbrook Park-Wynnefield Heights,42.34865308,Average,201,Ozone concentration,West,Overbrook Park-Wynnefield Heights 4
42101011900,Overbrook Park-Wynnefield Heights,42.34865308,Average,201,Ozone concentration,West,Overbrook Park-Wynnefield Heights 5
42101012000,Overbrook Park-Wynnefield Heights,42.22784191,Average,178,Ozone concentration,West,Overbrook Park-Wynnefield Heights 6
42101012100,Overbrook Park-Wynnefield Heights,42.18835384,Average,176,Ozone concentration,West,Overbrook Park-Wynnefield Heights 7
42101012201,Overbrook Park-Wynnefield Heights,42.10560769,Average,158,Ozone concentration,West,Overbrook Park-Wynnefield Heights 8
42101012203,Overbrook Park-Wynnefield Heights,42.10560769,Average,158,Ozone concentration,West,Overbrook Park-Wynnefield Heights 9
42101012204,Overbrook Park-Wynnefield Heights,42.08217561,Average,156,Ozone concentration,West,Overbrook Park-Wynnefield Heights 10
42101012500,Fairmount-Spring Garden,43.44245046,Average,267,Ozone concentration,Greater Center City,Fairmount-Spring Garden 1
42101013100,Poplar-Temple,44.3790257,Below Average,337,Ozone concentration,Greater Center City,Poplar-Temple 1
