geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101016902,Strawberry Mansion,8.39639473,Average,225,Particulate matter concentration,Lower North,Strawberry Mansion 8
42101017000,Nicetown-Tioga,8.285244942,Average,138,Particulate matter concentration,Lower North,Nicetown-Tioga 1
42101017100,Nicetown-Tioga,8.285245895,Average,144,Particulate matter concentration,Lower North,Nicetown-Tioga 2
42101017201,Nicetown-Tioga,8.30236721,Average,177,Particulate matter concentration,Lower North,Nicetown-Tioga 3
42101017202,Nicetown-Tioga,8.288610458,Average,168,Particulate matter concentration,Lower North,Nicetown-Tioga 4
42101017300,Nicetown-Tioga,8.404558182,Average,226,Particulate matter concentration,Lower North,Nicetown-Tioga 5
42101017400,Hunting Park-Fairhill,9.076903343,Below Average,329,Particulate matter concentration,Lower North,Hunting Park-Fairhill 1
42101017500,Hunting Park-Fairhill,8.64434433,Below Average,313,Particulate matter concentration,East,Hunting Park-Fairhill 2
42101017601,Hunting Park-Fairhill,9.854103088,Below Average,343,Particulate matter concentration,East,Hunting Park-Fairhill 3
42101017602,Hunting Park-Fairhill,8.66770649,Below Average,320,Particulate matter concentration,East,Hunting Park-Fairhill 4
42101017701,Upper Kensington,8.857108116,Below Average,322,Particulate matter concentration,East,Upper Kensington 1
42101017702,Upper Kensington,9.326351166,Below Average,336,Particulate matter concentration,East,Upper Kensington 2
42101017800,Upper Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Upper Kensington 3
42101017900,Upper Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Upper Kensington 4
42101018001,Richmond-Bridesburg,10.09123993,Below Average,355,Particulate matter concentration,East,Richmond-Bridesburg 1
42101018002,Richmond-Bridesburg,10.09123993,Below Average,355,Particulate matter concentration,East,Richmond-Bridesburg 2
